Date,Number of bikers,Mon,Tue,Wed,Thu,Fri,Sat,Sun,holiday,daylight_hrs,Rainfall (in),Temp (F),dry day
2012-10-03,14084.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.27735923649675,0.0,56.0,1
2012-10-04,13900.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.219141593709272,0.0,56.5,1
2012-10-05,12592.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.16103751014155,0.0,59.5,1
2012-10-06,8024.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.103056478579873,0.0,60.5,1
2012-10-07,8568.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.045208198323877,0.0,60.5,1
2012-10-08,14148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.987502588667528,0.0,58.0,1
2012-10-09,14004.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92994980215941,0.0,54.5,1
2012-10-10,12940.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.872560237618186,0.0,50.5,1
2012-10-11,12188.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.81534455287898,0.0,51.0,1
2012-10-12,8044.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.758313677241961,0.08,52.5,0
2012-10-13,3064.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.70147882359555,0.19,57.0,0
2012-10-14,2792.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.64485150018159,0.65,60.0,0
2012-10-15,9092.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.588443521970554,0.31,57.5,0
2012-10-16,12144.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53226702161101,0.0,54.0,1
2012-10-17,12972.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.476334459915442,0.0,50.5,1
2012-10-18,11692.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.420658635843873,0.82,54.0,0
2012-10-19,7908.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.365252695942027,0.19,54.0,0
2012-10-20,4272.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.310130143190996,0.02,47.5,0
2012-10-21,3956.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.255304845221401,0.25,46.5,0
2012-10-22,8516.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.200791041843253,0.35,42.0,0
2012-10-23,10000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.146603351840627,0.0,47.0,1
2012-10-24,9716.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.092756778978623,0.28,48.0,0
2012-10-25,10852.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.039266717165974,0.0,48.5,1
2012-10-26,8292.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.986148954718034,0.06,48.5,0
2012-10-27,2124.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.933419677659106,0.91,53.5,0
2012-10-28,4248.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.881095472004354,0.24,54.0,0
2012-10-29,8868.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.829193324959157,0.43,55.0,0
2012-10-30,6940.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77773062497099,1.36,56.5,0
2012-10-31,6840.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.72672516057111,0.57,56.0,0
2012-11-01,8364.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.676195117938612,0.38,55.0,0
2012-11-02,9912.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.626159077122228,0.22,55.0,0
2012-11-03,3808.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.57663600685421,0.02,56.0,0
2012-11-04,4044.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.527645257889912,0.32,59.5,0
2012-11-05,11240.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.479206554809723,0.03,52.5,0
2012-11-06,9972.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.431339986219832,0.01,49.5,0
